Study_Hours,Attendance,Previous_Score,Assignments_Completed,Sleep_Hours,Participation,Internet_Access,Extracurricular,Final_Result
4.1,95.3,76.8,4,5.6,6,Yes,Yes,Pass
5.7,69.9,93,4,5.8,8,Yes,Yes,Pass
6,99.6,73.9,5,5.3,4,Yes,No,Pass
3.4,77.5,50.1,10,6.5,1,Yes,No,Fail
3.3,60.8,74.7,10,7.4,7,Yes,No,Fail
3.9,79.5,85.9,6,8,3,No,No,Pass
0.5,69.8,58.9,9,6.7,6,Yes,No,Fail
1.5,88.1,66,9,6.4,2,Yes,Yes,Fail
7.2,70.2,68.2,8,7,9,Yes,No,Pass
7.8,72.6,56.2,3,5.8,1,Yes,Yes,Fail
4,55.3,77.7,6,9.3,6,Yes,No,Fail
5.7,72.6,66.2,6,4.9,6,Yes,Yes,Fail
5.1,48.9,74.3,3,7,5,Yes,Yes,Fail
10,59,54.7,10,9.2,5,Yes,Yes,Pass
6.7,87.1,61.4,9,6.8,1,Yes,Yes,Pass
4.2,87.4,78.8,9,6.6,10,Yes,Yes,Pass
2.6,83.1,62.4,10,6.4,5,Yes,Yes,Pass
1.3,66.4,93.9,9,6.6,2,Yes,No,Fail
4.9,77.4,62,5,8.4,7,Yes,Yes,Pass
3,78,71.4,6,4.1,3,Yes,No,Fail
1.7,64.1,82,4,8.6,4,Yes,No,Fail
3.2,96,46.7,3,5.1,3,Yes,No,Fail
2.3,88.5,41.6,9,6.5,3,Yes,No,Fail
7.9,75.3,45.1,8,6.3,4,Yes,No,Pass
6.3,78.3,86.9,9,7.5,5,Yes,Yes,Pass
4.5,80.5,59.7,9,4.9,1,Yes,Yes,Pass
7.5,53.5,100,7,7.4,4,Yes,Yes,Pass
4.7,75,59.5,5,9.2,8,Yes,No,Fail
2.8,69.8,70.8,3,5.2,10,Yes,No,Fail
7.5,66,91.1,7,7,7,Yes,Yes,Pass
5.6,74.6,98.1,7,6,9,Yes,Yes,Pass
2.4,99.6,98.9,8,7.3,5,Yes,No,Pass
4.1,85.7,86.1,6,6.8,10,No,Yes,Fail
2.7,71.1,83.4,8,6,4,Yes,No,Pass
1.7,84.9,76.9,6,7.4,8,Yes,No,Fail
